,TERTIAIRE,INDUSTRIE,AGRICULTURE,INCONNU,departement,year
413,246387.943,498830.02,6911.768,35.183,39,2022
414,677811.527,574830.517,132224.516,49.778,40,2022
415,403727.336,393533.961,72131.39199999999,342.891,41,2022
416,847493.611,1134807.232,9701.244999999999,184.351,42,2022
417,201786.938,667969.905,23946.250000000004,0.0,43,2022
418,1803267.868,1428833.565,86126.098,436.034,44,2022
419,965843.46,837532.962,98864.072,144.158,45,2022
420,191168.313,213198.293,7627.9439999999995,113.244,46,2022
421,481829.475,402744.151,51405.342,52.047,47,2022
422,87219.44499999999,64804.264,2221.1,0.0,48,2022
423,972379.469,961196.376,151784.412,202.367,49,2022
424,544450.482,613392.958,40151.283,157.784,50,2022
425,956683.729,1206921.434,48320.803,20.656,51,2022
426,222347.319,529291.957,4374.662,92.629,52,2022
427,320817.929,711973.826,31034.303,143.844,53,2022
428,899176.175,514047.57,12144.718,64.823,54,2022
429,202678.759,386349.187,10919.48,12.249,55,2022
430,866490.279,1194674.577,116452.478,382.294,56,2022
431,551067.893,624810.675,7843.38,108.508,57,2022
432,214548.944,200908.58299999998,11113.354,56.206,58,2022
433,3293499.791,2745380.478,114431.887,738.159,59,2022
434,797321.061,772820.727,14631.754,285.11,60,2022
435,292070.0,523157.622,23298.824,215.529,61,2022
436,1674450.932,2027530.422,84357.249,480.401,62,2022
437,859708.774,706553.723,14251.84,118.667,63,2022
438,931353.896,602429.6630000001,22552.525,162.464,64,2022
439,292404.39,130796.982,12144.707,0.0,65,2022
440,693978.562,223946.851,15716.699,132.368,66,2022
441,120819.034,167535.067,8815.563,0.0,67,2022
442,737496.526,731561.188,24759.253,71.103,68,2022
443,3140040.19,1501302.974,14810.771999999999,297.54499999999996,69,2022
444,181619.568,355674.585,5175.091,11.182,70,2022
445,651126.457,809743.459,11167.424,55.736000000000004,71,2022
446,666098.895,801773.478,70153.69499999999,84.69999999999999,72,2022
447,1104432.236,369909.975,5343.519,951.395,73,2022
448,1177351.104,900290.838,12349.280999999999,1319.585,74,2022
449,5612828.737,547474.07,1310.809,3867.942,75,2022
450,1744364.554,1790511.187,42414.142,164.931,76,2022
451,2528790.0,919578.735,38998.475,360.02299999999997,77,2022
452,2216723.778,633450.852,11719.341,529.883,78,2022
453,149134.309,112919.325,13032.081,0.0,79,2022
454,639192.208,757893.5800000001,78426.596,202.008,80,2022
455,359694.316,414124.017,16988.358,69.698,81,2022
456,365354.083,172358.75400000002,34913.279,27.669000000000004,82,2022
457,1499224.031,255679.342,40892.782,1130.003,83,2022
458,858419.925,391786.091,34570.804,274.816,84,2022
459,864043.746,1212665.497,86769.039,44.114,85,2022
460,402390.053,205617.804,2540.246,11.044,86,2022
461,476294.731,310287.544,2698.056,0.684,87,2022
462,398306.79099999997,759908.614,5977.315,0.0,88,2022
463,375068.601,568055.4619999999,19808.414,144.435,89,2022
464,149320.896,173478.401,2025.438,55.555,90,2022
465,2078482.138,694189.608,10853.425,215.034,91,2022
466,3265531.825,833142.675,825.886,1156.4660000000001,92,2022
467,2935023.341,574958.612,289.491,295.685,93,2022
468,2034287.153,543569.901,439.448,438.678,94,2022
469,1593028.519,456314.19,4080.855,540.282,95,2022
470,774109.231,1057916.8530000001,39626.33,340.431,01,2023
471,500816.935,674952.981,33640.963,87.381,02,2023
472,413889.624,387345.769,25378.802,64.565,03,2023
473,229607.095,113076.933,11825.777,5.441,04,2023
474,301692.261,44762.228,3806.702,64.825,05,2023
475,2010781.005,365502.744,2017.821,4120.017,06,2023
476,311186.61,389535.11,4419.254,291.554,07,2023
477,214795.332,463583.02999999997,9892.693,39.536,08,2023
478,137056.744,91994.86899999999,1915.074,67.66,09,2023
479,419201.354,458137.35,33343.76,4.652,10,2023
480,451692.816,212606.947,16506.462,25.598,11,2023
